Main;Middle;Sub;Main;Middle;Sub;Central;Unfiltered;Description;DatapointType;Security
;;L_R.00.02_01_Szene_1By;1;0;90
;;L_R.00.02_01_Status_1B;1;0;91
;;L_R.00.02_01_Status_invertiert_1B;1;0;92
;;L_R.00.02_01_Schwellwertschalter_1By_2By;1;0;93
;;L_R.00.02_01_Logik_1_1B;1;0;94
;;L_R.00.02_01_Logik_2_1B;1;0;95
;;L_R.00.02_02_Schalten_1B;1;0;96
;;L_R.00.02_02_Treppenlicht_1B;1;0;97
;;L_R.00.02_02_Service_erforderlich_1B;1;0;98
;;L_R.00.02_02_Schaltimpuls_1B;1;0;99
;;L_R.00.02_02_Sperren_1B;1;0;100
;;L_R.00.02_02_Zeit_bis_nächsten_Service_2By_4By;1;0;101
;;L_R.00.02_02_Betriebsstunden_RM_2By_4By;1;0;102
;;L_R.00.02_02_Treppenlicht_mit_Zeit_1By;1;0;103
;;L_R.00.02_02_Vorwarnen_1B;1;0;104
;;L_R.00.02_02_Betriebsstunden_Reset_1B;1;0;105
;;L_R.00.02_02_Servicemeldung_Reset_1B;1;0;106
;;L_R.00.02_02_Zwangsführung_2B;1;0;107
;;L_R.00.02_02_Priorität_1B;1;0;108
;;L_R.00.02_02_Szene_1By;1;0;109
;;L_R.00.02_02_Status_1B;1;0;110
;;L_R.00.02_02_Status_invertiert_1B;1;0;111
;;L_R.00.02_02_Schwellwertschalter_1By_2By;1;0;112
;;L_R.00.02_02_Logik_1_1B;1;0;113
;;L_R.00.02_02_Logik_2_1B;1;0;114
;;L_R.00.03_01_Schalten_1B;1;0;115
;;L_R.00.03_01_Treppenlicht_1B;1;0;116
;;L_R.00.03_01_Service_erforderlich_1B;1;0;117
;;L_R.00.03_01_Schaltimpuls_1B;1;0;118
;;L_R.00.03_01_Sperren_1B;1;0;119
;;L_R.00.03_01_Zeit_bis_nächsten_Service_2By_4By;1;0;120
;;L_R.00.03_01_Betriebsstunden_RM_2By_4By;1;0;121
;;L_R.00.03_01_Treppenlicht_mit_Zeit_1By;1;0;122
;;L_R.00.03_01_Vorwarnen_1B;1;0;123
;;L_R.00.03_01_Betriebsstunden_Reset_1B;1;0;124
;;L_R.00.03_01_Servicemeldung_Reset_1B;1;0;125
;;L_R.00.03_01_Zwangsführung_2B;1;0;126
;;L_R.00.03_01_Priorität_1B;1;0;127
;;L_R.00.03_01_Szene_1By;1;0;128
;;L_R.00.03_01_Status_1B;1;0;129
;;L_R.00.03_01_Status_invertiert_1B;1;0;130
;;L_R.00.03_01_Schwellwertschalter_1By_2By;1;0;131
;;L_R.00.03_01_Logik_1_1B;1;0;132
;;L_R.00.03_01_Logik_2_1B;1;0;133
;;L_R.00.04_01_Schalten_1B;1;0;134
;;L_R.00.04_01_Treppenlicht_1B;1;0;135
;;L_R.00.04_01_Service_erforderlich_1B;1;0;136
;;L_R.00.04_01_Schaltimpuls_1B;1;0;137
;;L_R.00.04_01_Sperren_1B;1;0;138
;;L_R.00.04_01_Zeit_bis_nächsten_Service_2By_4By;1;0;139
;;L_R.00.04_01_Betriebsstunden_RM_2By_4By;1;0;140
;;L_R.00.04_01_Treppenlicht_mit_Zeit_1By;1;0;141
;;L_R.00.04_01_Vorwarnen_1B;1;0;142
;;L_R.00.04_01_Betriebsstunden_Reset_1B;1;0;143
;;L_R.00.04_01_Servicemeldung_Reset_1B;1;0;144
;;L_R.00.04_01_Zwangsführung_2B;1;0;145
;;L_R.00.04_01_Priorität_1B;1;0;146
;;L_R.00.04_01_Szene_1By;1;0;147
